group_family,Nc,Nt,Ns,nF,nAS,nS,nADJ,name,beta,mass,Ls,alpha,a5,M5,mpv,therm,delta_traj,mres_p_start,mres_p_end
Sp,4,32,16,2,0,0,0,L2A1B3,7.6,0.06,16,1.5,1.0,1.8,1.0,150,5,5,25
Sp,4,32,16,2,0,0,0,L2A2B3,7.6,0.06,16,1.75,1.0,1.8,1.0,150,5,5,25
Sp,4,32,16,2,0,0,0,L2A3B3,7.6,0.06,16,2.0,1.0,1.8,1.0,150,5,5,25
Sp,4,32,16,2,0,0,0,L2A4B3,7.6,0.06,16,2.25,1.0,1.8,1.0,150,5,5,25
Sp,4,32,16,2,0,0,0,L3A0B3,7.6,0.06,24,1.0,1.0,1.8,1.0,150,5,5,23
Sp,4,32,16,2,0,0,0,L3A1B3,7.6,0.06,24,1.8,1.0,1.8,1.0,150,5,5,25
Sp,4,32,16,2,0,0,0,L3A2B3,7.6,0.06,24,1.9,1.0,1.8,1.0,150,5,11,21
Sp,4,32,16,2,0,0,0,L3A3B3,7.6,0.06,24,2.0,1.0,1.8,1.0,150,5,5,23
Sp,4,32,16,2,0,0,0,L3A4B3,7.6,0.06,24,2.5,1.0,1.8,1.0,150,5,5,23
Sp,4,32,16,2,0,0,0,L4A0B3,7.6,0.06,32,1.0,1.0,1.8,1.0,150,5,5,23
Sp,4,32,16,2,0,0,0,L4A1B3,7.6,0.06,32,2.25,1.0,1.8,1.0,150,5,8,22
Sp,4,32,16,2,0,0,0,L4A2B3,7.6,0.06,32,2.5,1.0,1.8,1.0,150,5,9,25
Sp,4,32,16,2,0,0,0,L4A3B3,7.6,0.06,32,2.75,1.0,1.8,1.0,150,5,10,23
Sp,4,32,16,2,0,0,0,L1A0B1,7.4,0.06,12,1.0,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L1A1B1,7.4,0.06,12,1.75,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L1A0B1,7.4,0.06,12,2.0,1.0,1.8,1.0,150,5,6,23
Sp,4,32,16,2,0,0,0,L1A0B1,7.4,0.06,12,2.25,1.0,1.8,1.0,150,5,9,24
Sp,4,32,16,2,0,0,0,L2A0B3,7.4,0.06,16,1.0,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L2A1B3,7.4,0.06,16,1.75,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L2A2B3,7.4,0.06,16,2.0,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L2A3B3,7.4,0.06,16,2.25,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L3A0B3,7.4,0.06,24,1.0,1.0,1.8,1.0,150,5,10,20
Sp,4,32,16,2,0,0,0,L4A0B3,7.4,0.06,32,1.0,1.0,1.8,1.0,150,5,10,20
